symbol,trading_date,open,raw_open_text,high,low,close,source,fetched_at,valid_numeric,valid_positive,within_hl_range,validation_flags,in_db,db_open,db_high,db_low,db_close,comparison_flags
KSE-100,2018-12-24,38222.81,"38,222.81",38347.25,37934.01,38308.92,ksestocks.com/MarketSummary,2026-07-03T15:33:32.797213+00:00,1,1,1,,1,,38347.25,37934.01,38308.92,
KSE-30,2018-12-24,18044.1,"18,044.10",18082.5,17862.63,18050.58,ksestocks.com/MarketSummary,2026-07-03T15:33:32.797213+00:00,1,1,1,,1,,18082.5,17862.63,18050.58,
KSE-ALL,2018-12-24,28373.3,"28,373.30",28495.56,28267.88,28480.19,ksestocks.com/MarketSummary,2026-07-03T15:33:32.797213+00:00,1,1,1,,1,,28495.56,28267.88,28480.19,
KSE-MI30,2018-12-24,64069.6,"64,069.60",64353.85,63466.22,64227.47,ksestocks.com/MarketSummary,2026-07-03T15:33:32.797213+00:00,1,1,1,,1,,64353.85,63466.22,64227.47,
KSE-MIALL,2018-12-24,18621.73,"18,621.73",18654.02,18473.88,18638.14,ksestocks.com/MarketSummary,2026-07-03T15:33:32.797213+00:00,1,1,1,,1,,18654.02,18473.88,18638.14,
KSE-100,2018-12-26,38318.41,"38,318.41",38358.82,38168.54,38218.07,ksestocks.com/MarketSummary,2026-07-03T15:33:39.819708+00:00,1,1,1,,1,,38358.82,38168.54,38218.07,
KSE-30,2018-12-26,18050.71,"18,050.71",18054.84,17929.27,17961.45,ksestocks.com/MarketSummary,2026-07-03T15:33:39.819708+00:00,1,1,1,,1,,18054.84,17929.27,17961.45,
KSE-ALL,2018-12-26,28486.31,"28,486.31",28537.83,28402.94,28509.79,ksestocks.com/MarketSummary,2026-07-03T15:33:39.819708+00:00,1,1,1,,1,,28537.83,28402.94,28509.79,
KSE-MI30,2018-12-26,64243.3,"64,243.30",64252.77,63798.8,63905.68,ksestocks.com/MarketSummary,2026-07-03T15:33:39.819708+00:00,1,1,1,,1,,64252.77,63798.8,63905.68,
KSE-MIALL,2018-12-26,18644.8,"18,644.80",18649.98,18539.14,18595.37,ksestocks.com/MarketSummary,2026-07-03T15:33:39.819708+00:00,1,1,1,,1,,18649.98,18539.14,18595.37,
