date,breadth,dispersion,participation,mkt_ret,n_stocks,avg_correlation,regime,volatility_level,trend_persistence
2007-05-16,68.26347305389223,5.55549816732899,2.9940119760479043,-1.1687918945535394,334,0.2833117967776299,TRENDING_UP,1.36158775089017,6.0
2007-05-17,67.621776504298,7.145666079944908,2.5787965616045847,1.0733022572939872,349,0.2743519441076555,TRENDING_UP,1.3199926535110058,7.0
2007-05-18,69.33701657458563,9.50965327396893,2.4861878453038675,2.0087711739875167,362,0.2667540248025054,TRENDING_UP,1.298724030462493,8.0
2007-05-21,66.4756446991404,6.378073263466637,2.5787965616045847,-0.008888422123551397,349,0.273667556103065,TRENDING_UP,1.2832251777423336,9.0
2007-05-22,70.82152974504248,5.456186348598584,1.69971671388102,1.3142616028747474,353,0.2793705527148296,TRENDING_UP,1.279382994309348,10.0
2007-05-23,70.57220708446866,6.45539373956239,3.2697547683923704,0.6995446260618564,367,0.2721069469311081,TRENDING_UP,1.2530199253051113,11.0
2007-05-24,76.5625,5.828492860339581,7.03125,2.803781666630639,384,0.29703218619148103,TRENDING_UP,1.2703134463781856,12.0
2007-05-25,73.57512953367875,10.86560139939207,8.031088082901555,1.621827238055869,386,0.3032045139188167,TRENDING_UP,1.2893395672932284,13.0
2007-05-28,76.88311688311688,26.13011805026145,5.454545454545454,2.47244563517418,385,0.2989517555375829,TRENDING_UP,1.295291358723224,14.0
2007-05-29,76.34961439588689,5.564539461634876,4.884318766066838,0.8450020481427998,389,0.2976423625812473,TRENDING_UP,1.292611320160001,15.0
2007-05-30,77.46835443037975,6.741177731534041,4.810126582278481,1.0138710704543274,395,0.2965701902446152,TRENDING_UP,1.2811618397227116,16.0
2007-05-31,79.84496124031007,5.789850399168346,8.010335917312661,0.7613921574319296,387,0.3015007461435737,TRENDING_UP,1.2968916602243907,17.0
2007-06-01,78.13333333333333,6.532515382473134,7.466666666666668,0.18251408429929236,375,0.3119320250263886,TRENDING_UP,1.303695164400486,18.0
2007-06-04,77.3224043715847,5.053809507908388,5.191256830601093,0.0730657906590528,366,0.24643130536115998,TRENDING_UP,1.1765200734123944,19.0
2007-06-05,79.50138504155125,5.330835616707402,8.033240997229916,1.020047110506014,361,0.2289393029566181,TRENDING_UP,1.1366417124321297,20.0
2007-06-06,78.53260869565217,5.520649620827861,9.510869565217392,-0.1409574943855245,368,0.21867672100233979,TRENDING_UP,1.159672420252723,21.0
2007-06-07,77.27272727272727,5.228177707954871,6.149732620320856,0.22483317278664458,374,0.2235424193968567,TRENDING_UP,1.161876443828008,22.0
2007-06-08,79.94428969359332,8.298611498261346,5.571030640668524,1.6687798737636534,359,0.22834577346758508,TRENDING_UP,1.1773825280398225,23.0
2007-06-11,77.68817204301075,7.684459929997803,6.720430107526881,0.3738141557609422,372,0.22154321867081134,TRENDING_UP,1.1308549412584004,24.0
2007-06-12,77.86666666666666,6.374975387061832,5.6000000000000005,1.4065397087440088,375,0.21866321320972337,TRENDING_UP,1.113376911745836,25.0
2007-06-13,78.77984084880637,5.880131745194873,7.427055702917771,0.9794411517629972,377,0.18963186848936844,TRENDING_UP,1.0395600286111992,26.0
2007-06-14,78.0361757105943,7.073221301143632,9.30232558139535,0.8981197492027134,387,0.18700493876635552,TRENDING_UP,1.0725974301873509,27.0
2007-06-15,81.49171270718232,7.011511222995388,5.524861878453039,0.7977926732752256,362,0.19418040282853516,TRENDING_UP,1.1176979224569474,28.0
2007-06-18,82.17054263565892,13.175699142805172,4.909560723514212,3.2615376162372725,387,0.19205432517080584,TRENDING_UP,1.1334043368663131,29.0
2007-06-19,83.07692307692308,8.472000420588907,5.641025641025641,0.9283198483412622,390,0.18778490239264203,TRENDING_UP,1.1322298984129486,30.0
2007-06-20,81.93384223918575,7.474903332260926,7.37913486005089,1.2389901354640782,393,0.18408687023190734,TRENDING_UP,1.1379219029957826,31.0
2007-06-21,83.37662337662337,7.323029331743617,8.571428571428571,1.0540744740502874,385,0.16201695437079713,TRENDING_UP,1.1119350647433166,32.0
