symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2025-07-03,0,TRENDING_UP,-6.0,7.343001038613528,1.1247660122712657,26490.133333333335,20
786,2025-09-05,1,TRENDING_UP,-6.0,42.18570836007119,1.719930514463904,108390.3,20
786,2024-04-29,0,TRENDING_UP,-6.0,-90.33552750952194,0.18785051111038764,12858.333333333334,20
786,2025-09-08,1,TRENDING_UP,-6.0,46.11813811541766,1.785588610422828,110976.25,20
786,2024-10-01,0,TRENDING_UP,-6.0,14.153179983194363,1.4159381909058293,11360.733333333334,20
786,2025-09-09,1,TRENDING_UP,-6.0,47.40696617688207,1.7872810026213286,137402.48333333334,20
786,2008-02-25,0,TRENDING_UP,-6.0,20.87935699238776,1.029025619597705,10516.666666666666,20
786,2026-02-11,1,VOLATILE,91.66046165301563,-10.927471417837406,1.7291705922915426,90063.95,20
786,2009-06-03,0,VOLATILE,-6.0,-105.10435622205597,0.4616368809132692,13708.333333333334,20
786,2026-02-12,1,VOLATILE,74.67840216655384,0.7556437467551937,2.025478828406701,112251.36666666667,20
786,2024-02-16,0,VOLATILE,30.0,-88.87049642939995,0.14358191931712327,35641.666666666664,20
786,2026-02-13,1,VOLATILE,58.153846153846146,14.770759888970396,2.297340162373075,117108.23333333334,20
786,2025-05-05,0,VOLATILE,-6.0,-17.31205475491076,0.8517368169746972,5916.516666666666,20
786,2026-02-16,1,VOLATILE,-6.0,30.575962643879762,2.5315355555266095,122083.5,20
786,2010-06-07,0,VOLATILE,-6.0,-47.56156486664896,0.9775747708800901,1882.7333333333333,20
786,2026-02-17,1,VOLATILE,-6.0,45.07678331766019,2.74668497879576,122940.23333333334,20
786,2025-02-06,0,VOLATILE,-6.0,35.88076816267601,1.7987439084299381,44889.4,20
786,2026-02-23,1,VOLATILE,-6.0,94.76832031917,2.3945163721053553,185927.03333333333,20
786,2025-05-09,0,VOLATILE,-6.0,-17.746286814536205,0.7784269988842323,6194.916666666667,20
786,2026-03-05,1,VOLATILE,-6.0,139.14717853135681,2.315862472726649,247351.56666666668,20
786,2009-11-03,0,VOLATILE,-6.0,-31.22207749668991,1.082367415154184,2129.0333333333333,20
786,2026-03-06,1,VOLATILE,-6.0,165.40867705631408,2.4113919059407816,250250.1,20
786,2026-02-06,0,VOLATILE,131.1229000884173,-30.197927783606474,1.1094760990223405,55595.21666666667,20
786,2026-03-09,1,VOLATILE,-6.0,169.16496506827568,2.406626571704702,254863.93333333332,20
