symbol,start,end,outcome,breakout_idx,close_at_breakout,ema_at_breakout,price_above_ema,ema_rising,ema_slope_pct,raw_pct_move,sma_at_breakout,passes_sma,passes_ema
JSBL,1200,1280,up,1281,5.51,4.374922829150364,True,True,4.937923337406664,-3.2667876588021727,3.92165,True,True
JSBL,3360,3440,down,3448,5.25,5.766308155043679,False,False,-0.985607545632762,4.761904761904762,6.0025,True,True
JVDC,1120,1200,up,1201,30.3,35.28581664182957,False,False,-4.268054063250501,-8.25082508250825,33.675,False,False
JVDC,1960,2040,up,2041,38.5,35.997153671625135,True,True,0.0953711827771957,-22.07792207792208,36.8773,True,True
KAPCO,1680,1760,up,1762,45.45,42.80621627426994,True,True,0.4750343034058157,2.39823982398239,42.6391,True,True
KAPCO,4200,4280,up,4282,27.7,29.988286201200754,False,False,-1.9986330457073,-3.068592057761725,29.61625,False,False
KOHC,4240,4320,down,4327,155.77,158.5775070811482,False,True,0.5209677276053515,18.98953585414393,153.84415,False,True
KOHC,4840,4920,down,4922,373.07,351.8302552801822,True,True,2.1584646894052857,-13.482724421690303,351.8535,False,False
KOHE,2440,2520,up,2540,32.6888,32.41399637710475,True,False,-0.2147525844059379,2.444568170137793,32.3428435,True,True
KOHP,3560,3640,down,3649,3.72,4.219382182082017,False,False,-1.3796388984723045,0.5376344086021511,4.127,True,True
KOIL,3960,4040,up,4041,5.1,5.263459292530976,False,False,-1.285159747020292,16.66666666666668,5.171,False,False
LOADS,1120,1200,down,1201,19.56,19.00448113251005,True,True,2.5321295079451427,30.57259713701432,18.2498,False,False
LOADS,2200,2280,down,2288,17.86,16.91401353901059,True,True,2.0362565141403866,28.21948488241881,16.561500000000002,False,False
LOTCHEM,1000,1080,up,1084,3.03,3.0915245776157803,False,False,-1.491457414413562,118.81188118811885,2.7426,True,False
LOTCHEM,1720,1800,down,1801,7.4,9.5901741317601,False,False,-3.6547540656411095,4.054054054054063,9.6662,True,True
LOTCHEM,4400,4480,up,4484,25.91,25.33225690241009,True,False,-0.5419852422050755,7.448861443458123,27.351550000000003,False,True
LPGL,1640,1720,down,1731,106.25,116.24230337122114,False,False,-0.9563343619035442,6.842352941176467,113.54895,True,True
LPL,120,200,down,207,9.1895,9.950056887518834,False,,,4.681429892812459,9.9180035,True,True
LPL,400,480,down,488,16.057,15.904360162813449,True,True,2.010412626418677,0.6782088808619197,16.6479835,True,False
LPL,720,800,up,821,11.9987,12.12830876222672,False,False,-1.2042467953201048,-2.203572053639146,11.738897999999999,True,False
LUCK,2040,2120,up,2121,239.98,202.55622785225168,True,True,3.7397705358217466,30.95257938161513,196.75995,True,True
MACFL,560,640,down,641,5.729,6.259721051192197,False,True,0.3270244251151683,-5.037528364461507,5.913697,True,True
MACFL,3800,3880,up,3881,16.99,18.216693955262244,False,False,-2.6149397093784,-7.651559741024126,18.78565,False,False
MACTER,1000,1080,down,1086,381.43,339.9607285272874,True,True,4.614252260055403,10.79621424638859,333.44464999999997,False,False
MCB,1280,1360,up,1379,200.01,199.1699901211348,True,False,-0.8826738233456061,22.313884305784708,204.1459,False,True
MCB,1800,1880,up,1882,187.99,177.95948531311876,True,True,0.7392951503100893,9.144103409755838,175.8553,True,True
MCB,2120,2200,down,2201,277.66,267.9450788759706,True,True,1.416232884052166,-2.1573147014333904,274.0675,False,False
MCB,3080,3160,up,3162,210.14,211.04456695612413,False,False,-1.1386738015292597,6.83829827733892,213.03334999999998,False,False
MCB,4120,4200,down,4201,148.81,160.49123659028402,False,False,-0.3072356010445988,11.854042067065397,158.649,True,True
MEBL,1000,1080,up,1082,11.58,16.172248665230775,False,False,-6.409029949892286,44.30051813471504,15.78325,False,False
MEBL,2080,2160,down,2169,38.57,35.41037691109878,True,True,2.2044777927097226,-1.9185895773917605,34.3479,False,False
MEBL,2280,2360,up,2361,53.05,40.92090777583126,True,True,3.442173656530155,-3.901979264844487,40.56175,True,True
MEBL,4800,4880,up,4893,243.26,228.4345787695194,True,True,1.111332073421366,26.646386582257666,236.697,True,True
MERIT,720,800,down,801,17.35,22.646673415190268,False,False,-3.737782517423632,-4.553314121037459,20.08265,True,True
MERIT,1400,1480,down,1493,17.71,19.37892605123605,False,False,-0.8468483164185449,5.1948051948052045,19.88715,True,True
MERIT,4240,4320,down,4344,12.87,12.42334295858893,True,True,1.487699910004893,37.14063714063714,12.287349999999998,False,False
MERIT,4280,4360,down,4361,12.36,12.464389179830842,False,True,0.4812487636921085,12.621359223300962,12.4793,True,True
MFFL,2040,2120,down,2121,261.0,295.2773206752245,False,False,-1.544050521426423,-23.754789272030653,301.15635,True,True
MFL,520,600,up,601,21.42,21.96824363787416,False,False,-1.5133662820102989,0.42016806722689,22.4393,False,False
MFL,1240,1320,up,1321,30.05,30.702331567956197,False,False,-1.3793462990963667,-0.232945091514144,32.18785,False,False
MLCF,1360,1440,down,1441,2.75,3.2941320255564577,False,False,-2.901900565879165,14.181818181818189,3.3416,True,True
MLCF,2560,2640,down,2643,69.04,65.44481254843924,True,True,2.3071222731407883,-12.514484356894554,67.43995,False,False
MLCF,4080,4160,down,4168,32.51,38.20341772536031,False,False,-1.8972348137409891,-18.240541371885573,40.418800000000005,True,True
MSOT,960,1040,up,1041,28.35,26.04818908711513,True,False,-0.2923505165126546,415.6966490299824,27.16555,True,True
MTL,200,280,up,283,65.7186,52.8360748704229,True,True,4.168646112472647,1.993803885049283,51.9812565,True,True
MTL,1560,1640,up,1643,140.8413,155.91044696622384,False,False,-3.3151360692355816,23.615303181666192,168.54337800000002,False,False
MTL,4160,4240,down,4243,304.0909,323.5924163060894,False,False,-0.7248097941231809,2.64131547507669,320.072135,True,True
MUREB,2800,2880,up,2882,820.0,771.3747559556264,True,True,0.5580923327318267,-4.7560975609756095,771.8530999999999,True,True
MUREB,3120,3200,up,3208,589.99,624.8886352924756,False,False,-1.8633964918356496,-6.811979864065503,625.87055,False,False
MWMP,760,840,up,841,0.07,0.0404868083584962,True,True,12.78472226095275,99.57142857142854,0.0382925,True,True
