symbol,start,end,outcome,direction,breakout_idx,entry_price,stop_price,target_price,exit_bar,exit_type,realized_R
KOHP,3560,3640,down,down,3649,3.72,3.7944000000000004,3.5712,3650,stop,-1.0
KOIL,1720,1800,sequential,up,1801,3.79,3.7142,3.9416,1802,stop,-1.0
KOIL,3760,3840,whipsaw,down,3855,5.5,5.61,5.279999999999999,3856,stop,-1.0
KOIL,3960,4040,up,up,4041,5.1,4.997999999999999,5.303999999999999,4042,target,2.0
KTML,2200,2280,sequential,up,2281,24.15,23.666999999999998,25.116,2282,stop,-1.0
LOADS,1120,1200,down,down,1201,19.56,19.9512,18.7776,1202,stop,-1.0
LOADS,2200,2280,down,down,2288,17.86,18.2172,17.145599999999998,2293,target,2.0
LOTCHEM,1000,1080,up,up,1084,3.03,2.9694,3.1512,1085,target,2.0
LOTCHEM,1720,1800,down,down,1801,7.4,7.548000000000001,7.104,1804,target,2.0
LOTCHEM,4400,4480,up,up,4484,25.91,25.3918,26.9464,4485,stop,-1.0
LPGL,1640,1720,down,down,1731,106.25,108.375,102.0,1732,stop,-1.0
LPL,80,160,down,down,161,9.1843,9.367986,8.816928,163,stop,-1.0
LPL,120,200,down,down,207,9.1895,9.37329,8.82192,210,stop,-1.0
LPL,400,480,down,down,488,16.057,16.37814,15.414719999999997,490,target,2.0
LPL,720,800,up,up,821,11.9987,11.758726,12.478648,822,target,2.0
LUCK,2040,2120,up,up,2121,239.98,235.1804,249.5792,2124,target,2.0
MACFL,3800,3880,up,up,3881,16.99,16.650199999999998,17.6696,3883,stop,-1.0
MACTER,360,440,sequential,up,441,183.0,179.34,190.32,442,stop,-1.0
MACTER,1000,1080,down,down,1086,381.43,389.0586,366.1728,1092,stop,-1.0
MARI,680,760,whipsaw,down,763,143.7893,146.665086,138.037728,766,stop,-1.0
MCB,1280,1360,up,up,1379,200.01,196.00979999999998,208.0104,1382,stop,-1.0
MCB,1800,1880,up,up,1882,187.99,184.2302,195.5096,1892,stop,-1.0
MCB,2080,2160,whipsaw,up,2165,299.54,293.54920000000004,311.52160000000003,2166,stop,-1.0
MCB,2120,2200,down,down,2201,277.66,283.21320000000003,266.5536,2209,target,2.0
MCB,3080,3160,up,up,3162,210.14,205.9372,218.5456,3168,target,2.0
MCB,4120,4200,down,down,4201,148.81,151.7862,142.8576,4203,stop,-1.0
MEBL,1000,1080,up,up,1082,11.58,11.3484,12.0432,1083,stop,-1.0
MEBL,1560,1640,sequential,down,1645,18.92,19.2984,18.1632,1651,target,2.0
MEBL,2080,2160,down,down,2169,38.57,39.3414,37.0272,2176,target,2.0
MEBL,2280,2360,up,up,2361,53.05,51.989,55.172,2362,stop,-1.0
MEBL,4800,4880,up,up,4893,243.26,238.39479999999998,252.9904,4898,stop,-1.0
MERIT,720,800,down,down,801,17.35,17.697000000000003,16.656000000000002,803,target,2.0
MERIT,1400,1480,down,down,1493,17.71,18.0642,17.0016,1494,target,2.0
MERIT,4240,4320,down,down,4344,12.87,13.1274,12.355199999999998,4346,stop,-1.0
MERIT,4280,4360,down,down,4361,12.36,12.607199999999999,11.865599999999999,4362,stop,-1.0
MFFL,2040,2120,down,down,2121,261.0,266.22,250.56,2122,stop,-1.0
MFL,1240,1320,up,up,1321,30.05,29.449,31.252000000000002,1328,target,2.0
MLCF,1360,1440,down,down,1441,2.75,2.805,2.6399999999999997,1450,target,2.0
MLCF,2560,2640,down,down,2643,69.04,70.42080000000001,66.2784,2646,target,2.0
MLCF,4080,4160,down,down,4168,32.51,33.160199999999996,31.2096,4169,stop,-1.0
MSCL,1520,1600,whipsaw,down,1601,20.65,21.063,19.823999999999998,1602,stop,-1.0
MSOT,840,920,whipsaw,up,921,29.88,29.2824,31.0752,922,stop,-1.0
MSOT,960,1040,up,up,1041,28.35,27.783,29.484,1044,target,2.0
MTL,200,280,up,up,283,65.7186,64.40422799999999,68.34734399999999,285,target,2.0
MTL,1560,1640,up,up,1643,140.8413,138.024474,146.474952,1644,target,2.0
MTL,3360,3440,sequential,up,3448,321.1768,314.753264,334.02387200000004,3452,stop,-1.0
MTL,4160,4240,down,down,4243,304.0909,310.172718,291.927264,4246,target,2.0
MTL,5040,5120,sequential,up,5123,292.0763,286.234774,303.75935200000004,5126,target,2.0
MUGHAL,1120,1200,sequential,down,1201,42.01,42.8502,40.3296,1202,target,2.0
MUREB,2600,2680,sequential,up,2681,1008.17,988.0065999999999,1048.4968,2682,target,2.0
MUREB,2800,2880,up,up,2882,820.0,803.6,852.8000000000001,2884,stop,-1.0
MUREB,3120,3200,up,up,3208,589.99,578.1902,613.5896,3209,stop,-1.0
