sector,symbol,start,end,kind,outcome,direction,type_trigger,trigger_bar,entry_price,lfd_level,open_at_trigger,gapped,realistic_exit_price,realistic_realized_R,worse_by_R
ENGINEERING,ASL,0,80,ascending,down,down,4.0,89,10.4,10.74,10.4,False,10.74,-1.0000000000000002,-2.220446049250313e-16
ENGINEERING,ASL,160,240,descending,whipsaw,down,4.0,242,8.61,8.83,8.6,False,8.83,-1.0000000000000002,-2.220446049250313e-16
ENGINEERING,ASL,2400,2480,descending,down,down,4.0,2486,10.2,10.68,10.01,False,10.68,-1.0,0.0
AUTOMOBILE PARTS & ACCESSORIES,ATBA,2600,2680,descending,up,up,4.0,2682,656.9995,654.7233,654.7156,True,654.7156,-1.0033828310341797,-0.0033828310341796897
AUTOMOBILE PARTS & ACCESSORIES,ATBA,4040,4120,symmetrical,sequential,up,3.0,4123,170.19,168.0,171.05,False,168.0,-1.0,0.0
INSURANCE,ATIL,1320,1400,ascending,up,up,4.0,1430,10.46,10.133,10.0611,True,10.0611,-1.2198776758409757,-0.21987767584097573
INSURANCE,ATIL,2480,2560,descending,up,up,4.0,2571,41.9482,41.3112,40.3651,True,40.3651,-2.4852433281004718,-1.4852433281004718
AUTOMOBILE ASSEMBLER,ATLH,3640,3720,descending,sequential,down,4.0,3722,379.1,384.8,380.0,False,384.8,-1.0,0.0
REFINERY,ATRL,1440,1520,ascending,sequential,up,3.0,1547,131.8,124.42,127.0,False,124.42,-1.0,0.0
REFINERY,ATRL,2640,2720,ascending,up,up,4.0,2722,224.51,222.05,226.0,False,222.05,-1.0,0.0
REFINERY,ATRL,5000,5080,ascending,sequential,up,3.0,5088,704.88,679.0,692.0,False,679.0,-1.0,0.0
TECHNOLOGY & COMMUNICATION,AVN,560,640,descending,up,up,3.0,669,17.9872,17.0358,17.6221,False,17.0358,-0.9999999999999999,1.1102230246251565e-16
TECHNOLOGY & COMMUNICATION,AVN,1920,2000,ascending,down,down,1.0,2024,88.06,95.0,94.43,False,95.0,-1.0,0.0
TECHNOLOGY & COMMUNICATION,AVN,2200,2280,descending,sequential,up,4.0,2282,67.8,66.0,67.99,False,66.0,-1.0,0.0
COMMERCIAL BANKS,BAFL,1840,1920,ascending,down,down,4.0,1929,8.4127,8.7224,8.6708,False,8.7224,-1.0,0.0
COMMERCIAL BANKS,BAFL,3040,3120,ascending,down,down,4.0,3141,20.4176,20.9027,20.2834,False,20.9027,-1.0,0.0
COMMERCIAL BANKS,BAFL,3840,3920,ascending,sequential,up,4.0,3926,19.2615,18.6576,18.864,False,18.6576,-1.0,0.0
COMMERCIAL BANKS,BAFL,4520,4600,descending,up,up,4.0,4613,21.0833,20.593,21.295,False,20.593,-1.0,0.0
ENGINEERING,BCL,3400,3480,descending,up,up,4.0,3519,143.76,110.0,117.35,False,110.0,-1.0,0.0
ENGINEERING,BECO,400,480,descending,up,up,4.0,499,20.24,18.83,19.1,False,18.83,-1.0000000000000002,-2.220446049250313e-16
CHEMICAL,BERG,2840,2920,symmetrical,down,down,4.0,2937,149.72,151.35,148.03,False,151.35,-0.9999999999999999,1.1102230246251565e-16
GLASS & CERAMICS,BGL,3800,3880,symmetrical,whipsaw,down,4.0,3890,8.65,8.97,8.7,False,8.97,-1.0,0.0
TEXTILE COMPOSITE,BHAT,1160,1240,descending,up,up,2.0,1333,899.09,799.99,849.5,False,799.99,-1.0,0.0
TEXTILE COMPOSITE,BHAT,1240,1320,symmetrical,down,down,1.0,1348,899.54,927.7,868.0,False,927.7,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,BIPL,2240,2320,symmetrical,sequential,down,4.0,2336,10.0,10.4,10.2,False,10.4,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,BIPL,3920,4000,descending,up,up,4.0,4002,13.53,13.5,13.5,False,13.5,-1.000000000000002,-1.9984014443252818e-15
FOOD & PERSONAL CARE PRODUCTS,BNL,1280,1360,descending,whipsaw,down,4.0,1362,13.19,13.72,13.4,False,13.72,-1.0,0.0
COMMERCIAL BANKS,BOK,440,520,descending,down,down,3.0,552,13.6,14.0,13.45,False,14.0,-1.0000000000000002,-2.220446049250313e-16
COMMERCIAL BANKS,BOK,3680,3760,ascending,down,down,4.0,3778,15.0,15.45,15.59,True,15.59,-1.311111111111113,-0.3111111111111129
COMMERCIAL BANKS,BOK,4600,4680,symmetrical,up,up,4.0,4704,33.6,32.5,32.72,False,32.5,-1.0,0.0
CEMENT,BWCL,1000,1080,symmetrical,whipsaw,down,4.0,1085,119.23,125.0,125.9,True,125.9,-1.1559792027729647,-0.15597920277296473
AUTOMOBILE PARTS & ACCESSORIES,BWHL,2280,2360,symmetrical,sequential,down,4.0,2377,74.0,80.0,79.85,False,80.0,-1.0,0.0
PAPER & BOARD,CEPB,840,920,descending,down,down,4.0,943,13.79,14.15,13.89,False,14.15,-1.0,0.0
PAPER & BOARD,CEPB,1080,1160,ascending,sequential,down,4.0,1185,16.0,16.25,16.0,False,16.25,-1.0,0.0
