sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
INSURANCE,AICL,3920,4000,ascending,down,60,False,5.195460277427479,99.89103711579143,5.201127576045705
INSURANCE,AICL,3920,4000,ascending,down,90,False,7.793190416141227,149.83655567368731,5.201127576045705
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,10,False,4.462762933484935,65.50163366233002,6.813208593378136
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,20,False,-3.63843092666288,-53.40260578839649,6.813208593378136
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,30,False,-3.6668561682774277,-53.819813646118256,6.813208593378136
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,60,False,21.688459351904488,318.3295954417694,6.813208593378136
TECHNOLOGY & COMMUNICATION,AIRLINK,160,240,descending,down,90,False,39.312109152927796,576.9984672293147,6.813208593378136
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,10,False,2.1199273167776975,45.134030425054576,4.696959914310896
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,20,False,-1.453664445790442,-30.949049434323584,4.696959914310896
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,30,False,0.7268322228951994,15.474524717161334,4.696959914310896
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,60,False,9.751665657177464,207.61653995525222,4.696959914310896
COMMERCIAL BANKS,AKBL,1800,1880,ascending,up,90,False,18.29194427619624,389.44220538190183,4.696959914310896
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,10,False,-14.714522624970389,-252.1841190523885,5.834833168822025
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,20,False,-11.250888415067521,-192.8227952632093,5.834833168822025
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,30,False,-23.364131722340677,-400.4250172427395,5.834833168822025
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,60,False,-39.64226486614547,-679.4069979236219,5.834833168822025
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,90,False,-48.12840559109217,-824.846301489176,5.834833168822025
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,10,False,-14.484126984126998,-134.9135328342691,10.735859242467273
