symbol,date,close_before,close_after,pct_change,peer_avg_change,magnitude_category,likely_action,peers_used,sector,review_status
KOHP,2017-12-27,3.02,2.69,-10.93,0.85,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-01-12,4.06,3.65,-10.1,-0.53,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-02-13,3.9,3.59,-7.95,0.12,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-03-27,4.1,3.78,-7.8,0.4,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-05-08,4.74,4.21,-11.18,-1.12,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-05-10,3.95,3.58,-9.37,0.49,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-05-23,4.36,3.72,-14.68,-0.09,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-05-28,3.48,3.14,-9.77,0.59,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-06-12,3.98,3.0,-24.62,-1.82,DROP_25,Bonus 1:3,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-06-14,3.65,3.35,-8.22,0.66,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-06-27,3.21,2.91,-9.35,-3.29,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-07-17,3.75,3.2,-14.67,-0.55,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-09-07,3.3,3.03,-8.18,-0.95,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-10-04,2.94,2.46,-16.33,0.28,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-10-09,2.42,2.2,-9.09,-1.21,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-10-30,3.0,2.43,-19.0,0.68,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-11-13,3.18,2.94,-7.55,-0.93,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-11-14,2.94,2.71,-7.82,0.47,DROP_OTHER,Rights/Dividend,13,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-11-15,2.71,2.34,-13.65,0.71,DROP_OTHER,Rights/Dividend,12,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-11-30,3.04,2.6,-14.47,0.27,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-12-12,2.65,2.35,-11.32,-2.43,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-12-18,2.22,1.98,-10.81,-0.49,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2018-12-27,2.35,2.13,-9.36,-0.2,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2019-01-30,2.4,2.18,-9.17,0.58,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2019-02-28,2.0,1.8,-10.0,-4.93,DROP_OTHER,Rights/Dividend,11,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2019-03-19,2.3,1.86,-19.13,-1.47,DROP_OTHER,Rights/Dividend,9,POWER GENERATION & DISTRIBUTION,PENDING
KOHP,2019-03-21,1.86,1.71,-8.06,-1.57,DROP_OTHER,Rights/Dividend,10,POWER GENERATION & DISTRIBUTION,PENDING
