symbol,start,end,outcome,breakout_idx_used,breakout_date,date_convention
PAKRI,3680,3760,up,3762,2020-08-17,breakout_idx
PCAL,1720,1800,sequential,1808,2013-11-11,breakout_idx (first chronological)
PECO,0,80,up,82,2005-12-07,breakout_idx
PECO,1560,1640,sequential,1649,2018-04-24,breakout_idx (first chronological)
PIBTL,1640,1720,down,1725,2021-01-07,breakout_idx
PICT,680,760,sequential,761,2008-02-11,breakout_idx (first chronological)
PICT,2600,2680,up,2681,2016-10-17,breakout_idx
PICT,4680,4760,up,4771,2025-12-17,breakout_idx
PICT,4720,4800,down,4801,2026-01-29,breakout_idx
PIL,1040,1120,up,1132,2012-03-06,breakout_idx
PIL,3080,3160,up,3170,2022-08-10,breakout_idx
PIOC,2560,2640,up,2641,2016-01-22,breakout_idx
PIOC,3880,3960,up,3965,2021-05-31,breakout_idx
PIOC,4480,4560,up,4561,2023-10-24,breakout_idx
PKGI,640,720,up,733,2010-11-25,breakout_idx
PKGI,1320,1400,sequential,1402,2016-02-04,breakout_idx (first chronological)
PKGP,1440,1520,up,1521,2017-09-25,breakout_idx
PKGP,1960,2040,up,2041,2019-11-29,breakout_idx
PKGP,2960,3040,up,3051,2024-04-08,breakout_idx
PKGP,3080,3160,sequential,3161,2024-09-30,breakout_idx (first chronological)
PKGS,1000,1080,sequential,1092,2009-10-09,breakout_idx (first chronological)
PKGS,1320,1400,up,1401,2011-01-07,breakout_idx
PKGS,3480,3560,up,3570,2019-11-06,breakout_idx
PKGS,4040,4120,down,4130,2022-02-08,breakout_idx
PNSC,920,1000,sequential,1001,2009-06-15,breakout_idx (first chronological)
PNSC,1240,1320,sequential,1326,2010-10-01,breakout_idx (first chronological)
PNSC,1280,1360,sequential,1361,2010-11-30,breakout_idx (first chronological)
PNSC,4640,4720,up,4746,2024-09-25,breakout_idx
POL,360,440,up,446,2006-10-18,breakout_idx
POL,400,480,sequential,493,2007-01-05,breakout_idx (first chronological)
POL,1640,1720,sequential,1721,2012-02-28,breakout_idx (first chronological)
POL,1720,1800,up,1809,2012-07-03,breakout_idx
POL,2440,2520,sequential,2525,2015-05-29,breakout_idx (first chronological)
POWER,160,240,sequential,241,2006-02-17,breakout_idx (first chronological)
POWER,4560,4640,up,4659,2024-04-02,breakout_idx
POWER,4920,5000,up,5001,2025-08-27,breakout_idx
POWERPS,40,120,up,130,2024-10-24,breakout_idx
POWERPS,400,480,up,481,2026-06-17,breakout_idx
PPL,400,480,sequential,483,2006-12-19,breakout_idx (first chronological)
PPL,520,600,down,613,2007-06-29,breakout_idx
PPL,1160,1240,sequential,1241,2010-04-06,breakout_idx (first chronological)
PPL,2760,2840,down,2856,2016-10-10,breakout_idx
PPL,3000,3080,up,3087,2017-09-14,breakout_idx
PPP,80,160,whipsaw,162,2006-11-30,breakout_idx (first chronological)
PPP,320,400,down,411,2009-11-03,breakout_idx
PPVC,960,1040,up,1042,2016-12-22,breakout_idx
PRL,1680,1760,down,1765,2012-06-05,breakout_idx
PRL,2480,2560,down,2561,2015-08-27,breakout_idx
PRL,2640,2720,up,2721,2016-04-18,breakout_idx
PRL,2760,2840,down,2849,2016-10-27,breakout_idx
PRL,2840,2920,down,2921,2017-02-07,breakout_idx
PRL,3920,4000,down,4005,2021-06-25,breakout_idx
PRL,4120,4200,up,4204,2022-04-11,breakout_idx
PSEL,920,1000,up,1002,2016-05-27,breakout_idx
PSO,1160,1240,down,1265,2010-05-07,breakout_idx
PSO,1200,1280,down,1281,2010-05-31,breakout_idx
PSO,1480,1560,down,1561,2011-07-11,breakout_idx
PSO,1600,1680,up,1685,2012-01-16,breakout_idx
PTC,2680,2760,sequential,2767,2016-05-19,breakout_idx (first chronological)
QUET,1280,1360,up,1361,2022-11-21,breakout_idx
