sector,symbol,start,end,kind,outcome,variant,type
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,fixed_5,4
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,fixed_10,4
MISCELLANEOUS,AKDHL,240,320,descending,whipsaw,trigger,4
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,current,4
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,fixed_5,4
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,fixed_10,4
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,trigger,4
MISCELLANEOUS,AKGL,640,720,descending,sequential,current,4
MISCELLANEOUS,AKGL,640,720,descending,sequential,fixed_5,4
MISCELLANEOUS,AKGL,640,720,descending,sequential,fixed_10,4
MISCELLANEOUS,AKGL,640,720,descending,sequential,trigger,4
INSURANCE,ALAC,2720,2800,symmetrical,down,current,4
INSURANCE,ALAC,2720,2800,symmetrical,down,fixed_5,4
INSURANCE,ALAC,2720,2800,symmetrical,down,fixed_10,4
INSURANCE,ALAC,2720,2800,symmetrical,down,trigger,4
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,current,4
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,fixed_5,4
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,fixed_10,4
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,trigger,4
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,current,4
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,fixed_5,3
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,fixed_10,3
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,trigger,3
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,current,1
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,fixed_5,1
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,fixed_10,1
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,trigger,1
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,current,1
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,fixed_5,1
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,fixed_10,1
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,trigger,1
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,current,1
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,fixed_5,1
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,fixed_10,1
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,trigger,1
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,current,2
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,fixed_5,2
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,fixed_10,2
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,trigger,2
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,current,4
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,fixed_5,4
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,fixed_10,4
TEXTILE COMPOSITE,ANTM,440,520,descending,sequential,trigger,4
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,current,2
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,fixed_5,2
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,fixed_10,2
OIL & GAS MARKETING COMPANIES,APL,1400,1480,symmetrical,up,trigger,2
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,current,1
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,fixed_5,1
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,fixed_10,1
OIL & GAS MARKETING COMPANIES,APL,1560,1640,ascending,up,trigger,1
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,current,4
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,fixed_5,2
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,fixed_10,2
OIL & GAS MARKETING COMPANIES,APL,3160,3240,ascending,down,trigger,4
