symbol,date,bucket,close_t,open_t1,gap_pct,set
SCL,2014-04-28,A_gap_up,171.2678,179.8242,4.995918672394926,N20_NOTFIT
SCL,2015-08-06,C_gap_down,205.8174,195.5265,-5.000014576027096,N20_NOTFIT
SCL,2017-03-17,A_gap_up,441.9292,447.8647,1.3430884404108276,N20_NOTFIT
SCL,2018-03-20,C_gap_down,247.0965,239.0025,-3.2756433215363208,N20_NOTFIT
SCL,2018-09-17,C_gap_down,196.598,192.7129,-1.9761645591511727,N20_NOTFIT
SCL,2019-02-06,C_gap_down,218.0122,207.1124,-4.999628461159513,N20_NOTFIT
SCL,2019-12-04,no_open_data,,,,N20_NOTFIT
SCL,2020-04-10,no_open_data,,,,N20_NOTFIT
SCL,2020-10-09,A_gap_up,206.7501,222.2519,7.497844015553078,N20_NOTFIT
SCL,2020-12-11,F_flat,231.2555,231.2555,0.0,N20_NOTFIT
SCL,2022-02-04,C_gap_down,267.4701,262.0895,-2.0116641075021153,N20_NOTFIT
SCL,2022-03-17,A_gap_up,253.6102,271.3397,6.990846582668994,N20_NOTFIT
SCL,2022-10-28,no_open_data,,,,N20_NOTFIT
SCL,2023-03-29,A_gap_up,234.3389,249.7559,6.578933331171223,N20_NOTFIT
SCL,2023-11-15,A_gap_up,266.7146,284.4442,6.647405128928077,N20_NOTFIT
SCL,2024-10-23,A_gap_up,211.645,213.5259,0.8887051430461371,N20_NOTFIT
SCL,2025-02-26,A_gap_up,223.3388,223.5469,0.09317682373147959,N20_NOTFIT
SCL,2025-04-24,A_gap_up,235.657,245.9016,4.347250452988874,N20_NOTFIT
SCL,2025-06-30,A_gap_up,251.8218,269.7903,7.135402892045091,N20_NOTFIT
SCL,2025-09-22,A_gap_up,322.2005,354.4221,10.000481066913313,N20_NOTFIT
