symbol,signal_date,lookback_n,strategy_confirmed,status,close_t,trigger_price,next_date,next_open,next_low,gap_pct,gap_pct_raw,gap_vs_trigger_pct,fillable_at_close_t,note
TPLI,2026-07-24,60,True,Stopped,89.24,89.24,2026-07-27,90.55,80.32,1.4679515912147045,1.4679515912147045,1.4679515912147045,True,
AGIC,2026-07-27,20,False,Stopped,44.86,44.86,2026-07-28,42.88,42.6,-4.41373160945162,-4.41373160945162,-4.41373160945162,True,
AGIC,2026-07-27,60,False,Stopped,44.86,44.86,2026-07-28,42.88,42.6,-4.41373160945162,-4.41373160945162,-4.41373160945162,True,
ASLPS,2026-07-27,20,False,Stopped,26.61,26.61,2026-07-28,29.27,23.95,9.996242014280346,9.996242014280346,9.996242014280346,True,
PRL,2026-07-27,20,True,Stopped,55.51,55.51,2026-07-28,56.2,55.75,1.2430192758061698,1.2430192758061698,1.2430192758061698,False,
PRL,2026-07-27,60,True,Stopped,55.51,55.51,2026-07-28,56.2,55.75,1.2430192758061698,1.2430192758061698,1.2430192758061698,False,
TPL,2026-07-27,20,True,Stopped,19.61,19.61,2026-07-28,19.9,19.6,1.4788373278939273,1.4788373278939273,1.4788373278939273,True,
TPL,2026-07-27,60,True,Stopped,19.61,19.61,2026-07-28,19.9,19.6,1.4788373278939273,1.4788373278939273,1.4788373278939273,True,
AICL,2026-07-28,20,False,Stopped,90.56,90.56,2026-07-29,89.97,86.8,-0.651501766784456,-0.651501766784456,-0.651501766784456,True,
AICL,2026-07-28,60,False,Stopped,90.56,90.56,2026-07-29,89.97,86.8,-0.651501766784456,-0.651501766784456,-0.651501766784456,True,
ARPL,2026-07-28,20,False,Stopped,415.22,415.22,2026-07-29,415.22,410.0,0.0,0.0,0.0,True,
ASLPS,2026-07-28,20,False,Stopped,29.27,29.27,2026-07-29,32.2,26.34,10.010249402118221,10.010249402118221,10.010249402118221,True,
IGIHL,2026-07-28,20,False,Stopped,285.74,285.74,2026-07-29,280.02,280.02,-2.00181983621475,-2.00181983621475,-2.00181983621475,True,
PRL,2026-07-28,20,True,Stopped,59.15,59.15,2026-07-29,59.3,57.01,0.2535925612848666,0.2535925612848666,0.2535925612848666,True,
PRL,2026-07-28,60,True,Stopped,59.15,59.15,2026-07-29,59.3,57.01,0.2535925612848666,0.2535925612848666,0.2535925612848666,True,
ASLPS,2026-07-29,20,False,Stopped,32.2,32.2,2026-07-30,35.42,30.0,9.999999999999995,9.999999999999995,9.999999999999995,True,
DBCI,2026-07-29,20,True,Stopped,25.19,25.19,2026-07-30,26.0,22.67,3.215561730845568,3.215561730845568,3.215561730845568,True,
DBCI,2026-07-29,60,True,Stopped,25.19,25.19,2026-07-30,26.0,22.67,3.215561730845568,3.215561730845568,3.215561730845568,True,
HICL,2026-07-29,20,False,Stopped,13.16,13.16,2026-07-30,13.3,12.21,1.063829787234047,1.063829787234047,1.063829787234047,True,
HICL,2026-07-29,60,False,Stopped,13.16,13.16,2026-07-30,13.3,12.21,1.063829787234047,1.063829787234047,1.063829787234047,True,
MSOT,2026-07-29,20,False,Stopped,137.91,137.91,2026-07-30,144.7,132.0,4.923500833877161,4.923500833877161,4.923500833877161,True,
MSOT,2026-07-29,60,False,Stopped,137.91,137.91,2026-07-30,144.7,132.0,4.923500833877161,4.923500833877161,4.923500833877161,True,
RICL,2026-07-29,20,False,Stopped,13.37,13.37,2026-07-30,14.5,13.5,8.45175766641736,8.45175766641736,8.45175766641736,False,
SBL,2026-07-29,20,True,Stopped,16.01,16.01,2026-07-30,16.19,15.15,1.1242973141786365,1.1242973141786365,1.1242973141786365,True,
SBL,2026-07-29,60,True,Stopped,16.01,16.01,2026-07-30,16.19,15.15,1.1242973141786365,1.1242973141786365,1.1242973141786365,True,
STPL,2026-07-29,20,False,Stopped,10.18,10.18,2026-07-30,10.01,9.16,-1.6699410609037322,-1.6699410609037322,-1.6699410609037322,True,
SURC,2026-07-29,20,False,Stopped,151.82,151.82,2026-07-30,165.0,155.25,8.681333157686739,8.681333157686739,8.681333157686739,False,
ASLPS,2026-07-30,20,False,Stopped,35.42,35.42,2026-07-31,38.96,34.0,9.994353472614339,9.994353472614339,9.994353472614339,True,
OBOY,2026-07-30,20,True,Stopped,19.65,19.65,2026-07-31,19.99,19.01,1.730279898218829,1.730279898218829,1.730279898218829,True,
RICL,2026-07-30,20,False,Stopped,13.74,13.74,2026-07-31,13.0,12.5,-5.385735080058226,-5.385735080058226,-5.385735080058226,True,
SURC,2026-07-30,20,False,Stopped,167.0,167.0,2026-07-31,172.0,154.5,2.9940119760479043,2.9940119760479043,2.9940119760479043,True,
SURC,2026-07-30,60,False,Stopped,167.0,167.0,2026-07-31,172.0,154.5,2.9940119760479043,2.9940119760479043,2.9940119760479043,True,
